ID_PRODUTO,DIA,FLAG_PROMOCAO,QUANTIDADE_ESTOQUE
7,2024-01-04,1,151
8,2024-01-04,0,79
9,2024-01-04,0,60
10,2024-01-04,0,161
11,2024-01-04,1,21
12,2024-01-04,1,62
13,2024-01-04,1,149
14,2024-01-04,0,85
15,2024-01-04,0,173
16,2024-01-04,1,80
17,2024-01-04,1,128
18,2024-01-04,0,124
19,2024-01-04,1,12
20,2024-01-04,1,149
21,2024-01-04,1,136
22,2024-01-04,0,69
23,2024-01-04,1,57
24,2024-01-04,1,42
25,2024-01-04,1,12
1,2024-01-05,1,63
2,2024-01-05,0,97
3,2024-01-05,0,67
4,2024-01-05,1,18
5,2024-01-05,0,28
6,2024-01-05,0,109
7,2024-01-05,0,136
8,2024-01-05,0,61
9,2024-01-05,1,60
10,2024-01-05,1,157
11,2024-01-05,1,5
12,2024-01-05,1,60
13,2024-01-05,1,139
14,2024-01-05,1,69
15,2024-01-05,1,165
16,2024-01-05,0,74
17,2024-01-05,0,112
18,2024-01-05,0,109
19,2024-01-05,1,1
20,2024-01-05,1,148
21,2024-01-05,0,127
22,2024-01-05,0,59
23,2024-01-05,0,39
24,2024-01-05,0,25
25,2024-01-05,0,2
1,2024-01-06,1,46
2,2024-01-06,1,93
3,2024-01-06,1,66
4,2024-01-06,0,12
5,2024-01-06,0,23
6,2024-01-06,0,105
7,2024-01-06,0,122
8,2024-01-06,0,53
9,2024-01-06,0,45
10,2024-01-06,0,157
11,2024-01-06,1,4
12,2024-01-06,1,51
13,2024-01-06,0,135
14,2024-01-06,0,68
15,2024-01-06,0,159
16,2024-01-06,1,60
17,2024-01-06,1,108
18,2024-01-06,0,105
19,2024-01-06,0,0
20,2024-01-06,0,133
21,2024-01-06,1,122
22,2024-01-06,1,48
23,2024-01-06,0,26
24,2024-01-06,0,24
25,2024-01-06,0,2
1,2024-01-07,1,46
2,2024-01-07,0,84
3,2024-01-07,1,62
4,2024-01-07,0,3
5,2024-01-07,1,22
6,2024-01-07,1,98
7,2024-01-07,1,111
8,2024-01-07,0,47
9,2024-01-07,1,45
10,2024-01-07,0,151
11,2024-01-07,1,4
12,2024-01-07,1,32
13,2024-01-07,1,129
14,2024-01-07,1,65
15,2024-01-07,1,157
16,2024-01-07,1,43
17,2024-01-07,0,106
18,2024-01-07,0,90
19,2024-01-07,0,0
20,2024-01-07,1,129
21,2024-01-07,0,110
22,2024-01-07,1,41
23,2024-01-07,0,15
24,2024-01-07,1,24
25,2024-01-07,1,0
1,2024-01-08,0,28
2,2024-01-08,1,82
3,2024-01-08,0,60
4,2024-01-08,0,2
5,2024-01-08,1,19
6,2024-01-08,0,85
7,2024-01-08,1,93
8,2024-01-08,0,30
9,2024-01-08,0,30
10,2024-01-08,0,148
11,2024-01-08,1,0
12,2024-01-08,1,24
13,2024-01-08,1,122
14,2024-01-08,1,52
15,2024-01-08,0,157
16,2024-01-08,1,42
17,2024-01-08,1,98
18,2024-01-08,1,79
19,2024-01-08,0,0
20,2024-01-08,1,117
21,2024-01-08,1,106
22,2024-01-08,1,31
23,2024-01-08,0,12
24,2024-01-08,0,21
25,2024-01-08,0,0
1,2024-01-09,0,20
2,2024-01-09,1,67
3,2024-01-09,1,49
4,2024-01-09,1,0
5,2024-01-09,1,3
6,2024-01-09,1,76
7,2024-01-09,1,80
8,2024-01-09,0,13
9,2024-01-09,0,25
10,2024-01-09,0,135
11,2024-01-09,0,0
12,2024-01-09,1,9
13,2024-01-09,0,120
14,2024-01-09,1,40
15,2024-01-09,1,138
16,2024-01-09,0,32
17,2024-01-09,1,81
18,2024-01-09,0,63
19,2024-01-09,0,0
20,2024-01-09,1,102
21,2024-01-09,0,105
22,2024-01-09,0,12
23,2024-01-09,0,10
24,2024-01-09,0,2
25,2024-01-09,1,0
1,2024-01-10,1,15
2,2024-01-10,0,63
3,2024-01-10,0,46
4,2024-01-10,1,0
5,2024-01-10,1,0
6,2024-01-10,1,62
7,2024-01-10,1,74
8,2024-01-10,0,5
9,2024-01-10,0,7
10,2024-01-10,1,116
11,2024-01-10,1,0
12,2024-01-10,1,6
13,2024-01-10,0,117
14,2024-01-10,1,23
15,2024-01-10,0,119
16,2024-01-10,1,20
17,2024-01-10,0,67
18,2024-01-10,0,46
19,2024-01-10,1,0
20,2024-01-10,1,88
21,2024-01-10,0,87
22,2024-01-10,1,4
23,2024-01-10,1,7
24,2024-01-10,1,0
25,2024-01-10,0,0
1,2024-01-11,0,5
2,2024-01-11,1,62
3,2024-01-11,0,44
4,2024-01-11,1,0
5,2024-01-11,1,0
6,2024-01-11,0,60
7,2024-01-11,1,62
8,2024-01-11,0,0
9,2024-01-11,1,5
10,2024-01-11,1,116
11,2024-01-11,0,0
12,2024-01-11,0,1
13,2024-01-11,1,105
14,2024-01-11,1,10
15,2024-01-11,1,100
16,2024-01-11,0,14
17,2024-01-11,0,53
18,2024-01-11,1,43
19,2024-01-11,1,0
20,2024-01-11,0,85
21,2024-01-11,1,77
22,2024-01-11,1,4
23,2024-01-11,0,7
24,2024-01-11,0,0
25,2024-01-11,1,0
1,2024-01-12,0,3
2,2024-01-12,0,54
3,2024-01-12,0,29
4,2024-01-12,0,0
5,2024-01-12,0,0
6,2024-01-12,0,60
7,2024-01-12,0,45
8,2024-01-12,1,0
9,2024-01-12,1,1
10,2024-01-12,0,103
11,2024-01-12,1,0
12,2024-01-12,0,0
13,2024-01-12,1,98
14,2024-01-12,1,0
15,2024-01-12,1,83
16,2024-01-12,1,8
17,2024-01-12,0,41
18,2024-01-12,1,40
19,2024-01-12,0,0
20,2024-01-12,1,81
21,2024-01-12,0,62
22,2024-01-12,0,4
23,2024-01-12,0,7
24,2024-01-12,1,0
25,2024-01-12,0,0
1,2024-01-13,1,2
2,2024-01-13,1,38
3,2024-01-13,1,16
4,2024-01-13,1,0
5,2024-01-13,1,0
6,2024-01-13,0,43
7,2024-01-13,0,40
8,2024-01-13,0,0
9,2024-01-13,1,0
10,2024-01-13,1,94
11,2024-01-13,1,0
12,2024-01-13,1,0
13,2024-01-13,1,88
14,2024-01-13,0,0
15,2024-01-13,1,71
16,2024-01-13,0,5
17,2024-01-13,0,28
18,2024-01-13,1,34
19,2024-01-13,1,0
20,2024-01-13,0,77
21,2024-01-13,0,54
22,2024-01-13,0,3
23,2024-01-13,1,2
24,2024-01-13,0,0
25,2024-01-13,1,0
1,2024-01-14,0,0
2,2024-01-14,0,23
3,2024-01-14,1,0
4,2024-01-14,1,0
5,2024-01-14,1,0
6,2024-01-14,0,24
7,2024-01-14,0,36
8,2024-01-14,0,0
9,2024-01-14,0,0
10,2024-01-14,0,78
11,2024-01-14,1,0
12,2024-01-14,0,0
13,2024-01-14,0,81
14,2024-01-14,0,0
15,2024-01-14,0,70
16,2024-01-14,0,2
17,2024-01-14,0,24
18,2024-01-14,0,25
19,2024-01-14,0,0
20,2024-01-14,0,67
21,2024-01-14,1,36
22,2024-01-14,0,2
23,2024-01-14,1,0
24,2024-01-14,0,0
25,2024-01-14,0,0
1,2024-01-15,1,0
2,2024-01-15,0,14
3,2024-01-15,1,0
4,2024-01-15,1,0
5,2024-01-15,0,0
6,2024-01-15,1,22
7,2024-01-15,0,18
8,2024-01-15,1,0
9,2024-01-15,0,0
10,2024-01-15,0,69
11,2024-01-15,0,0
12,2024-01-15,1,0
13,2024-01-15,1,72
14,2024-01-15,0,0
15,2024-01-15,0,62
16,2024-01-15,0,1
17,2024-01-15,1,12
18,2024-01-15,1,13
19,2024-01-15,0,0
20,2024-01-15,1,51
21,2024-01-15,1,25
22,2024-01-15,1,2
23,2024-01-15,1,0
24,2024-01-15,1,0
25,2024-01-15,0,0
1,2024-01-16,0,0
2,2024-01-16,0,4
3,2024-01-16,1,0
4,2024-01-16,0,0
5,2024-01-16,0,0
6,2024-01-16,1,19
7,2024-01-16,0,11
8,2024-01-16,0,0
9,2024-01-16,0,0
10,2024-01-16,1,62
11,2024-01-16,1,0
12,2024-01-16,1,0
13,2024-01-16,0,60
14,2024-01-16,1,0
15,2024-01-16,1,60
16,2024-01-16,1,0
17,2024-01-16,0,0
18,2024-01-16,0,12
19,2024-01-16,1,0
20,2024-01-16,1,38
21,2024-01-16,1,16
22,2024-01-16,0,1
23,2024-01-16,1,0
24,2024-01-16,0,0
25,2024-01-16,1,0
1,2024-01-17,1,0
2,2024-01-17,1,1
3,2024-01-17,0,0
4,2024-01-17,0,0
5,2024-01-17,1,0
6,2024-01-17,0,14
7,2024-01-17,1,0
8,2024-01-17,0,0
9,2024-01-17,1,0
10,2024-01-17,1,46
11,2024-01-17,0,0
12,2024-01-17,0,0
13,2024-01-17,0,41
14,2024-01-17,0,0
15,2024-01-17,1,60
16,2024-01-17,0,0
17,2024-01-17,1,0
18,2024-01-17,1,3
19,2024-01-17,0,0
20,2024-01-17,0,35
21,2024-01-17,0,11
22,2024-01-17,0,1
23,2024-01-17,0,0
24,2024-01-17,0,0
25,2024-01-17,1,0
1,2024-01-18,1,0
2,2024-01-18,1,1
3,2024-01-18,0,0
4,2024-01-18,1,0
5,2024-01-18,1,0
6,2024-01-18,1,10
7,2024-01-18,1,0
8,2024-01-18,1,0
9,2024-01-18,1,0
10,2024-01-18,0,39
11,2024-01-18,0,0
12,2024-01-18,0,0
13,2024-01-18,0,22
14,2024-01-18,1,0
15,2024-01-18,0,47
16,2024-01-18,0,0
17,2024-01-18,0,0
18,2024-01-18,1,2
19,2024-01-18,1,0
20,2024-01-18,1,24
21,2024-01-18,1,3
22,2024-01-18,1,0
23,2024-01-18,1,0
24,2024-01-18,0,0
25,2024-01-18,0,0
1,2024-01-19,0,0
2,2024-01-19,1,1
3,2024-01-19,1,0
4,2024-01-19,1,0
5,2024-01-19,0,0
6,2024-01-19,0,7
7,2024-01-19,0,0
8,2024-01-19,1,0
9,2024-01-19,0,0
10,2024-01-19,0,20
11,2024-01-19,1,0
12,2024-01-19,0,0
13,2024-01-19,1,18
14,2024-01-19,1,0
15,2024-01-19,1,34
16,2024-01-19,0,0
17,2024-01-19,0,0
18,2024-01-19,0,0
19,2024-01-19,1,0
20,2024-01-19,0,13
21,2024-01-19,1,3
22,2024-01-19,1,0
23,2024-01-19,1,0
24,2024-01-19,0,0
25,2024-01-19,0,0
